env_id,episode_num,initial_height,max_height,climb_height,steps,terminated,success
62,0,0.5049278140068054,0.5518865585327148,0.046958744525909424,30,True,False
80,0,0.5102291107177734,0.5248426795005798,0.014613568782806396,30,True,False
124,0,0.4993801712989807,0.5264855623245239,0.027105391025543213,34,True,False
119,0,0.5011099576950073,0.5249650478363037,0.023855090141296387,38,True,False
111,0,0.5092006921768188,0.5904470682144165,0.08124637603759766,51,True,False
11,0,0.5106223225593567,0.6935612559318542,0.18293893337249756,101,True,False
0,0,0.4940841495990753,0.6404017210006714,0.14631757140159607,103,True,False
112,0,0.488619327545166,0.9610397219657898,0.4724203944206238,179,True,False
79,0,0.5073657035827637,2.15366268157959,1.6462969779968262,193,True,True
158,0,0.4983818829059601,2.1765661239624023,1.6781842410564423,216,True,True
180,0,0.49834591150283813,2.1800639629364014,1.6817180514335632,218,True,True
117,0,0.49147701263427734,2.1741816997528076,1.6827046871185303,225,True,True
167,0,0.5101029276847839,2.1525845527648926,1.6424816250801086,235,True,True
192,0,0.5025172829627991,2.1619157791137695,1.6593984961509705,242,True,True
161,0,0.4970269501209259,2.2690610885620117,1.7720341384410858,246,True,True
145,0,0.4987795054912567,2.176527976989746,1.6777484714984894,249,True,True
78,0,0.49675318598747253,2.1716504096984863,1.6748972237110138,258,True,True
41,0,0.49546435475349426,2.198801279067993,1.703336924314499,259,True,True
86,0,0.501083493232727,2.1947736740112305,1.6936901807785034,264,True,True
176,0,0.5039176940917969,2.1582462787628174,1.6543285846710205,264,True,True
34,0,0.5008005499839783,2.178947687149048,1.6781471371650696,268,True,True
128,0,0.5009403824806213,2.187032699584961,1.6860923171043396,278,True,True
63,0,0.4898022413253784,2.1739792823791504,1.684177041053772,279,True,True
184,0,0.4918345808982849,2.1895861625671387,1.6977515816688538,295,True,True
106,0,0.49110886454582214,2.2008883953094482,1.709779530763626,499,True,True
19,0,0.4992414116859436,2.267200231552124,1.7679588198661804,507,True,True
41,1,0.5,2.2061705589294434,1.7061705589294434,254,True,True
106,1,0.5,0.5506582856178284,0.05065828561782837,38,True,False
14,0,0.4964594841003418,2.2438385486602783,1.7473790645599365,558,True,True
2,0,0.4929920434951782,2.286231517791748,1.7932394742965698,632,True,True
23,0,0.4952116012573242,2.2814180850982666,1.7862064838409424,671,True,True
38,0,0.4902607202529907,2.288449287414551,1.79818856716156,672,True,True
38,1,0.5,0.5,0.0,8,True,False
83,0,0.4936324656009674,2.306513786315918,1.8128813207149506,706,True,True
195,0,0.49975326657295227,2.2599880695343018,1.7602348029613495,750,True,True
140,0,0.49795687198638916,2.203599452972412,1.705642580986023,753,True,True
197,0,0.49453970789909363,2.2445731163024902,1.7500334084033966,760,True,True
88,0,0.5021050572395325,2.261652946472168,1.7595478892326355,763,True,True
0,1,0.5,2.264357566833496,1.764357566833496,678,True,True
