env_id,episode_num,initial_height,max_height,climb_height,steps,terminated,success_low,success_medium,success_high,success_expert
96,0,0.501289963722229,0.5234056711196899,0.022115707397460938,55,True,False,False,False,False
75,0,0.5055835247039795,2.23604416847229,1.7304606437683105,195,True,True,True,True,True
82,0,0.49825096130371094,2.1631240844726562,1.6648731231689453,202,True,True,True,True,True
73,0,0.4968429505825043,2.2427964210510254,1.7459534704685211,206,True,True,True,True,True
89,0,0.49578598141670227,2.1492390632629395,1.6534530818462372,217,True,True,True,True,True
52,0,0.49690011143684387,2.1557698249816895,1.6588697135448456,224,True,True,True,True,True
35,0,0.5070005655288696,2.2561583518981934,1.7491577863693237,226,True,True,True,True,True
76,0,0.4932372570037842,2.25154185295105,1.7583045959472656,228,True,True,True,True,True
0,0,0.4938368797302246,2.2498369216918945,1.75600004196167,232,True,True,True,True,True
99,0,0.49242332577705383,2.257101535797119,1.7646782100200653,233,True,True,True,True,True
68,0,0.49344927072525024,2.168954610824585,1.6755053400993347,245,True,True,True,True,True
31,0,0.48812028765678406,2.168365240097046,1.6802449524402618,249,True,True,True,True,True
8,0,0.5070490837097168,2.259103775024414,1.7520546913146973,320,True,True,True,True,True
7,0,0.5010979771614075,2.185370683670044,1.6842727065086365,338,True,True,True,True,True
35,1,0.5,2.1601998805999756,1.6601998805999756,258,True,True,True,True,True
31,1,0.5,2.1758358478546143,1.6758358478546143,255,True,True,True,True,True
9,0,0.4923323392868042,2.2670419216156006,1.7747095823287964,718,True,True,True,True,True
62,0,0.49101924896240234,2.2956793308258057,1.8046600818634033,769,True,True,True,True,True
36,0,0.4916377067565918,2.267754316329956,1.7761166095733643,806,True,True,True,True,True
0,1,0.5,2.2429540157318115,1.7429540157318115,689,True,True,True,True,True
1,0,0.4920009672641754,2.2735085487365723,1.7815075814723969,1000,False,True,True,True,True
2,0,0.5003166198730469,2.2490291595458984,1.7487125396728516,1000,False,True,True,True,True
3,0,0.49024149775505066,2.285120725631714,1.7948792278766632,1000,False,True,True,True,True
4,0,0.5019988417625427,2.2580676078796387,1.756068766117096,1000,False,True,True,True,True
5,0,0.49165576696395874,2.210461378097534,1.7188056111335754,1000,False,True,True,True,True
6,0,0.5053843259811401,2.2044589519500732,1.699074625968933,1000,False,True,True,True,True
10,0,0.5014545321464539,2.241913080215454,1.7404585480690002,1000,False,True,True,True,True
11,0,0.4910987615585327,2.221055030822754,1.7299562692642212,1000,False,True,True,True,True
12,0,0.5044470429420471,2.2690086364746094,1.7645615935325623,1000,False,True,True,True,True
13,0,0.4941987693309784,2.274571418762207,1.7803726494312286,1000,False,True,True,True,True
14,0,0.505649983882904,2.270683526992798,1.7650335431098938,1000,False,True,True,True,True
15,0,0.4973125457763672,2.232018232345581,1.7347056865692139,1000,False,True,True,True,True
16,0,0.5013964176177979,2.203394889831543,1.7019984722137451,1000,False,True,True,True,True
17,0,0.49857616424560547,2.280275344848633,1.7816991806030273,1000,False,True,True,True,True
18,0,0.5081163048744202,2.271965503692627,1.7638491988182068,1000,False,True,True,True,True
19,0,0.5043593645095825,2.254565954208374,1.7502065896987915,1000,False,True,True,True,True
20,0,0.49308472871780396,2.2136011123657227,1.7205163836479187,1000,False,True,True,True,True
21,0,0.5039491653442383,2.2383546829223633,1.734405517578125,1000,False,True,True,True,True
22,0,0.4926677644252777,2.214463472366333,1.7217957079410553,1000,False,True,True,True,True
23,0,0.4967798590660095,2.278665781021118,1.7818859219551086,1000,False,True,True,True,True
24,0,0.49487224221229553,2.298670768737793,1.8037985265254974,1000,False,True,True,True,True
25,0,0.5068018436431885,2.2805309295654297,1.7737290859222412,1000,False,True,True,True,True
26,0,0.5052375197410583,2.274519920349121,1.7692824006080627,1000,False,True,True,True,True
27,0,0.49965977668762207,2.213780164718628,1.7141203880310059,1000,False,True,True,True,True
28,0,0.5047176480293274,2.3055529594421387,1.8008353114128113,1000,False,True,True,True,True
29,0,0.4880779981613159,2.2121198177337646,1.7240418195724487,1000,False,True,True,True,True
30,0,0.5083858966827393,2.295715093612671,1.7873291969299316,1000,False,True,True,True,True
32,0,0.5052792429924011,2.214815616607666,1.709536373615265,1000,False,True,True,True,True
33,0,0.49456027150154114,2.280156135559082,1.785595864057541,1000,False,True,True,True,True
34,0,0.5044115781784058,2.2565813064575195,1.7521697282791138,1000,False,True,True,True,True
37,0,0.5018391609191895,2.2679085731506348,1.7660694122314453,1000,False,True,True,True,True
38,0,0.4913042187690735,2.238921642303467,1.7476174235343933,1000,False,True,True,True,True
39,0,0.5013031959533691,2.2319695949554443,1.7306663990020752,1000,False,True,True,True,True
40,0,0.5014688372612,2.280057191848755,1.778588354587555,1000,False,True,True,True,True
41,0,0.4977908730506897,2.2345705032348633,1.7367796301841736,1000,False,True,True,True,True
42,0,0.5015662908554077,2.292124032974243,1.7905577421188354,1000,False,True,True,True,True
43,0,0.49546822905540466,2.26943039894104,1.7739621698856354,1000,False,True,True,True,True
44,0,0.4969579577445984,2.2901101112365723,1.7931521534919739,1000,False,True,True,True,True
45,0,0.49297159910202026,2.257520914077759,1.7645493149757385,1000,False,True,True,True,True
46,0,0.4943317472934723,2.2914464473724365,1.7971147000789642,1000,False,True,True,True,True
47,0,0.4912756383419037,2.2859861850738525,1.7947105467319489,1000,False,True,True,True,True
48,0,0.4917333126068115,2.2502639293670654,1.758530616760254,1000,False,True,True,True,True
49,0,0.4974415600299835,2.2736737728118896,1.7762322127819061,1000,False,True,True,True,True
50,0,0.49265027046203613,2.2568163871765137,1.7641661167144775,1000,False,True,True,True,True
51,0,0.4991688132286072,2.2611083984375,1.7619395852088928,1000,False,True,True,True,True
53,0,0.4932105541229248,2.228692054748535,1.7354815006256104,1000,False,True,True,True,True
54,0,0.4973001778125763,2.2659921646118164,1.7686919867992401,1000,False,True,True,True,True
55,0,0.489399254322052,2.2077369689941406,1.7183377146720886,1000,False,True,True,True,True
56,0,0.4929176867008209,2.2660393714904785,1.7731216847896576,1000,False,True,True,True,True
57,0,0.4943957030773163,2.268129348754883,1.7737336456775665,1000,False,True,True,True,True
58,0,0.4936677813529968,2.2751150131225586,1.7814472317695618,1000,False,True,True,True,True
59,0,0.49427056312561035,2.2690482139587402,1.7747776508331299,1000,False,True,True,True,True
60,0,0.48885372281074524,2.3141064643859863,1.825252741575241,1000,False,True,True,True,True
61,0,0.4868007004261017,2.2568395137786865,1.7700388133525848,1000,False,True,True,True,True
63,0,0.500058114528656,2.2990593910217285,1.7990012764930725,1000,False,True,True,True,True
64,0,0.4949376583099365,2.2299368381500244,1.734999179840088,1000,False,True,True,True,True
65,0,0.5006532073020935,2.3058557510375977,1.8052025437355042,1000,False,True,True,True,True
66,0,0.49306973814964294,2.2972707748413086,1.8042010366916656,1000,False,True,True,True,True
67,0,0.5069000720977783,2.294877529144287,1.7879774570465088,1000,False,True,True,True,True
69,0,0.5011221170425415,2.2833852767944336,1.782263159751892,1000,False,True,True,True,True
70,0,0.5018300414085388,2.312324047088623,1.8104940056800842,1000,False,True,True,True,True
71,0,0.4906911551952362,2.2761621475219727,1.7854709923267365,1000,False,True,True,True,True
72,0,0.4977025091648102,2.2309458255767822,1.733243316411972,1000,False,True,True,True,True
74,0,0.5018430948257446,2.2079524993896484,1.7061094045639038,1000,False,True,True,True,True
77,0,0.5060586929321289,2.287121534347534,1.7810628414154053,1000,False,True,True,True,True
78,0,0.49163806438446045,2.268134355545044,1.7764962911605835,1000,False,True,True,True,True
79,0,0.48975810408592224,0.49082228541374207,0.0010641813278198242,1000,False,False,False,False,False
80,0,0.49403077363967896,2.2217037677764893,1.7276729941368103,1000,False,True,True,True,True
81,0,0.5002483129501343,2.316723585128784,1.81647527217865,1000,False,True,True,True,True
83,0,0.5022090673446655,2.3092377185821533,1.8070286512374878,1000,False,True,True,True,True
84,0,0.502096951007843,2.283111095428467,1.7810141444206238,1000,False,True,True,True,True
85,0,0.49661675095558167,2.282766103744507,1.7861493527889252,1000,False,True,True,True,True
86,0,0.5052325129508972,2.257646322250366,1.752413809299469,1000,False,True,True,True,True
87,0,0.4889099895954132,0.6824910044670105,0.1935810148715973,1000,False,False,False,False,False
88,0,0.5066859126091003,2.2640111446380615,1.7573252320289612,1000,False,True,True,True,True
90,0,0.49576425552368164,2.2213571071624756,1.725592851638794,1000,False,True,True,True,True
91,0,0.4877525568008423,2.3185417652130127,1.8307892084121704,1000,False,True,True,True,True
92,0,0.5056052207946777,2.292353630065918,1.7867484092712402,1000,False,True,True,True,True
93,0,0.490272581577301,2.2775652408599854,1.7872926592826843,1000,False,True,True,True,True
94,0,0.4931800365447998,2.2624289989471436,1.7692489624023438,1000,False,True,True,True,True
95,0,0.5007593631744385,2.2648332118988037,1.7640738487243652,1000,False,True,True,True,True
97,0,0.4903399646282196,2.251314640045166,1.7609746754169464,1000,False,True,True,True,True
98,0,0.4850395917892456,2.306424140930176,1.8213845491409302,1000,False,True,True,True,True
